STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,ECS,Europe & Central Asia,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,23.69930985927187,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,ECA,Europe & Central Asia (excluding high income),WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,31.10347466750737,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,TEC,Europe & Central Asia (IDA & IBRD),WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,32.26920902124596,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,EUU,European Union,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,17.466919713576793,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,FCS,Fragile and conflict affected situations,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,27.09227189920193,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,HPC,Heavily indebted poor countries (HIPC),WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,26.286720145057497,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,HIC,High income,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,18.92736537002944,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IBD,IBRD only,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,23.885116008091018,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IBT,IDA & IBRD total,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,24.33455604499776,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IDB,IDA blend,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,26.782549696555154,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IDX,IDA only,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,26.502275614731143,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IDA,IDA total,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,26.59846747574535,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LTE,Late-demographic dividend,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,24.541492356761903,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LCN,Latin America & Caribbean,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,18.327473282908024,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LAC,Latin America & Caribbean (excluding high income),WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,18.622346809623902,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,TLA,Latin America & Caribbean (IDA & IBRD),WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,18.366116345321064,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LDC,Least developed countries: UN classification,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,26.8718363416036,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LMY,Low & middle income,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,23.837372409721294,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LIC,Low income,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,27.81529367759053,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,LMC,Lower middle income,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,23.95972165172909,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,MEA,Middle East and North Africa,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,25.68768279902045,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,MNA,Middle East & North Africa (excluding high income),WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,26.319081606826547,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,TMN,Middle East & North Africa (IDA & IBRD),WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,26.324798460879315,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,MIC,Middle income,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,23.6329968294832,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,NAC,North America,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,17.450352291914562,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,OED,OECD members,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,16.375795403595774,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,OSS,Other small states,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,23.118838489802663,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,PSS,Pacific island small states,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,39.93856484680576,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,PST,Post-demographic dividend,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,16.88966262197821,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,PRE,Pre-demographic dividend,WB_WDI_SH_DYN_NCOM_ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,24.819913179091333,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
